"objectid","standort","ortsbezeichnung","quartier","stadtkreis","baujahr","historisches_baujahr","art_eigentuemer","eigentuemer","wasserart","brunnennummer","brunnenart","art","architekt_bildhauer","steinhauer","material_trog","material_saeule","material_figur","abgestellt","datum_abstellung","grund_abstellung","hkoord","vkoord","bemerkung1","bemerkung2","foto","druckzone","u_aks_nummer","datum_wiederinbetriebnahme","datum_aenderung","geometry"
"605","Bucheggplatz","","Hoengg/Wipkingen","10","1972","1956","öffentlich","WVZ","Züriwasser","302","","öffentlich","J. Schader, Architekt","","Bodiogranit, dunkel","","","nein","","","2682601.419","1250284.591","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/302.jpg","HZ Sonnenberg","{10116C7C-612B-4D73-8D4F-EBD333FD0B63}","","202308241444","POINT (2682601.5 1250284.6)"
"649","Stüssistrasse 74","","Unterstrass/Oberstrass","6","1992","1931","öffentlich","WVZ","Züriwasser","291","","öffentlich","E. Schäfer, Architekt","A. Conrad, Granitwerke","Andeerer Granit","","","nein","","","2683189.424","1249800.568","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/291.jpg","HZ Sonnenberg","{5750C8EB-602B-4400-99D5-E13B028A4C7E}","","202308241444","POINT (2683189.5 1249800.6)"
"650","Schaffhauserstrasse/Hirschwiesenstr.","","Unterstrass/Oberstrass","6","1992","1958","öffentlich","IMMO","Züriwasser","262","","öffentlich","E. Schäfer, Architekt","Rigendinger, Bilhauer","Laufener Kalkstein","","","nein","","","2683391.676","1250492.162","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/262.jpg","HZ Sonnenberg","{5D7A43C2-8049-4AF4-A66A-CC92348510BB}","","202308241444","POINT (2683391.8 1250492.1)"
"651","Hanslinweg/Orelliweg","","Fluntern/Hottingen/Witikon","7","1949","1949","öffentlich","WVZ","Züriwasser","361","","öffentlich","E. Schäfer, Architekt","M. Antonini,Bellinzona","Castione-Granit","","Bronzetafel","nein","","","2684738.487","1249004.322","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/361.jpg","GZ Looren","{5209C84B-A05E-44AF-8F32-45D651B29611}","","202308241444","POINT (2684738.5 1249004.4)"
"652","Schaffhauserplatz/Weinbergstrasse","","Unterstrass/Oberstrass","6","1970","1949","öffentlich","WVZ","Quellwasser","301","","öffentlich","","","Castionegranit","","","nein","","","2683079.177","1249493.582","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/301.jpg","Brunnennetz","{FC316416-2AC1-4B9C-A558-031640FE0239}","","202308241444","POINT (2683079.2 1249493.6)"
"653","Weinbergstrasse ca. 70m nach Nr. 117","","Unterstrass/Oberstrass","6","1911","1910","öffentlich","IMMO","Quellwasser","274","","öffentlich","Streiff & Schindler, Architekten","A. Hünerwadel, Bildhauer","Muschelkalkstein","","","nein","","","2683246.384","1249059.75","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/274.jpg","Brunnennetz","{502933AC-5150-4136-A9B8-0A756E85B08F}","","202308241444","POINT (2683246.5 1249059.8)"
"654","Weinbergstrasse 143","Haupteingang Schulhaus","Unterstrass/Oberstrass","6","1945","1945","öffentlich","WVZ","Quellwasser","300","","öffentlich","","","Bodio Granit","","","nein","","","2683163.462","1249301.508","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/300.jpg","Brunnennetz","{D8060755-1E19-40D2-A4B4-CD6AD24EA757}","","202308241444","POINT (2683163.5 1249301.5)"
"655","Rigistrasse / Hadlaubstrasse","","Unterstrass/Oberstrass","6","1934","1934","öffentlich","WVZ","Züriwasser","295","","öffentlich","E. Schäfer, Architekt","E. Abry, junior","Solothurner Kalkstein","Solothurner Kalkst.","Solothurner Kalkst.","nein","","","2684027.198","1249007.473","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/295.jpg","BZ Orelli","{C2A38E6D-6A48-46E4-8C2C-477E6B5896FF}","","202308241444","POINT (2684027.2 1249007.5)"
"657","Gallustrasse/Stampfenbachstrasse","","Unterstrass/Oberstrass","6","1982","1903","öffentlich","IMMO","Quellwasser","267","","öffentlich","R. + E. Guyer, Architekt","","Jura-Laufener-Kalk-stein","Jura-Laufener-Kalk-stein","","nein","","","2683135.353","1248920.312","1903 Erstellungsjahr; 1970 Versetzt.; 1972 Abbruch.","","https://wvzm0cun.global.szh.loc/Brunnenbilder/267.jpg","Brunnennetz","{6060695A-793C-44A5-9336-1AEBE5891CF8}","","202308241444","POINT (2683135.2 1248920.2)"
"659","Sonneggstrasse/Weinbergstrasse","Manneken-Pis","Unterstrass/Oberstrass","6","1910","1910","öffentlich","WVZ","Quellwasser","273","","öffentlich","","","Pièrre de Mazangère","","Bronze","nein","","","2683443.98","1248610.895","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/273.jpg","Brunnennetz","{3E3EB9FA-F90A-4A8C-99E8-7267E5F023AF}","","202308241444","POINT (2683444 1248610.9)"
